"ref_area.label","indicator.label","source.label","sex.label","classif1.label","classif2.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Germany","Average monthly earnings of employees by sex and economic activity","HIES - EU Statistics on Income and Living Conditions","Sex: Female","Economic activity (Aggregate): Not classified","Currency: 2017 PPP $","2021",2864.84,,,"Currency: DEU - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Germany","Average monthly earnings of employees by sex and economic activity","HIES - EU Statistics on Income and Living Conditions","Sex: Female","Economic activity (Aggregate): Not classified","Currency: U.S. dollars","2021",2643.6,,,"Currency: DEU - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Germany","Average monthly earnings of employees by sex and economic activity","HIES - EU Statistics on Income and Living Conditions","Sex: Total","Economic activity (ISIC-Rev.4): Total","Currency: Local currency","2021",4321.55,,,"Currency: DEU - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Germany","Average monthly earnings of employees by sex and economic activity","HIES - EU Statistics on Income and Living Conditions","Sex: Total","Economic activity (ISIC-Rev.4): Total","Currency: 2017 PPP $","2021",5539.05,,,"Currency: DEU - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Germany","Average monthly earnings of employees by sex and economic activity","HIES - EU Statistics on Income and Living Conditions","Sex: Total","Economic activity (ISIC-Rev.4): Total","Currency: U.S. dollars","2021",5111.28,,,"Currency: DEU - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Germany","Average monthly earnings of employees by sex and economic activity","HIES - EU Statistics on Income and Living Conditions","Sex: Total","Economic activity (ISIC-Rev.4): A. Agriculture; forestry and fishing","Currency: Local currency","2021",3394.12,,,"Currency: DEU - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Germany","Average monthly earnings of employees by sex and economic activity","HIES - EU Statistics on Income and Living Conditions","Sex: Total","Economic activity (ISIC-Rev.4): A. Agriculture; forestry and fishing","Currency: 2017 PPP $","2021",4350.33,,,"Currency: DEU - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Germany","Average monthly earnings of employees by sex and economic activity","HIES - EU Statistics on Income and Living Conditions","Sex: Total","Economic activity (ISIC-Rev.4): A. Agriculture; forestry and fishing","Currency: U.S. dollars","2021",4014.36,,,"Currency: DEU - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Germany","Average monthly earnings of employees by sex and economic activity","HIES - EU Statistics on Income and Living Conditions","Sex: Total","Economic activity (ISIC-Rev.4): C. Manufacturing","Currency: Local currency","2021",5187.53,,"Nonstandard economic activity: Including B | Nonstandard economic activity: Including D-E","Currency: DEU - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Germany","Average monthly earnings of employees by sex and economic activity","HIES - EU Statistics on Income and Living Conditions","Sex: Total","Economic activity (ISIC-Rev.4): C. Manufacturing","Currency: 2017 PPP $","2021",6648.99,,"Nonstandard economic activity: Including B | Nonstandard economic activity: Including D-E","Currency: DEU - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Germany","Average monthly earnings of employees by sex and economic activity","HIES - EU Statistics on Income and Living Conditions","Sex: Total","Economic activity (ISIC-Rev.4): C. Manufacturing","Currency: U.S. dollars","2021",6135.5,,"Nonstandard economic activity: Including B | Nonstandard economic activity: Including D-E","Currency: DEU - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
